A,2003-03-26,2003-04-18
AAL,2008-04-03,2008-04-26
AAP,2004-12-21,2005-01-13
AAPL,1987-01-02,1987-01-25
ABBV,2014-06-25,2014-07-18
ABC,1999-04-09,1999-05-02
ABT,1986-05-16,1986-06-08
ACGL,1999-08-26,1999-09-18
ACN,2004-08-29,2004-09-21
ADBE,1991-11-11,1991-12-04
ADI,1986-05-16,1986-06-08
ADM,1986-05-16,1986-06-08
ADP,1986-05-16,1986-06-08
ADSK,1990-11-24,1990-12-17
AEE,2001-08-16,2001-09-08
AEP,1970-10-08,1970-10-31
AES,1996-01-13,1996-02-05
AFL,1986-05-16,1986-06-08
AIG,1980-03-13,1980-04-05
AIZ,2006-11-05,2006-11-28
AJG,1990-01-08,1990-01-31
AKAM,2003-03-09,2003-04-01
ALB,1998-04-26,1998-05-19
ALGN,2004-04-06,2004-04-29
ALK,1986-05-16,1986-06-08
ALL,1997-09-11,1997-10-04
ALLE,2015-03-27,2015-04-19
AMAT,1986-05-16,1986-06-08
AMCR,2013-12-09,2014-01-01
AMD,1986-05-16,1986-06-08
AME,1990-02-02,1990-02-25
AMGN,1989-02-26,1989-03-21
AMP,2008-03-23,2008-04-15
AMT,2001-10-03,2001-10-26
AMZN,2001-01-29,2001-02-21
ANET,2015-09-14,2015-10-07
ANSS,2000-04-22,2000-05-15
AON,1986-07-21,1986-08-13
AOS,1989-05-27,1989-06-19
APA,1985-08-26,1985-09-18
APD,1986-05-16,1986-06-08
APH,1996-05-08,1996-05-31
APTV,2013-07-07,2013-07-30
ARE,2001-02-09,2001-03-04
ATO,1989-08-11,1989-09-03
ATVI,1998-01-13,1998-02-05
AVB,1998-05-10,1998-06-02
AVGO,2011-07-24,2011-08-16
AVY,1980-04-24,1980-05-17
AWK,2010-06-16,2010-07-09
AXON,2004-08-04,2004-08-27
AXP,1979-09-10,1979-10-03
AZO,1995-11-02,1995-11-25
BA,1970-10-08,1970-10-31
BAC,1980-04-24,1980-05-17
BALL,1980-04-24,1980-05-17
BAX,1987-10-03,1987-10-26
BBWI,1988-02-13,1988-03-07
BBY,1990-09-24,1990-10-17
BDX,1980-04-24,1980-05-17
BEN,1989-05-21,1989-06-13
BF-B,1986-05-16,1986-06-08
BG,2004-09-10,2004-10-03
BIIB,1996-03-25,1996-04-17
BIO,1986-04-29,1986-05-22
BK,1980-06-24,1980-07-17
BKNG,2002-09-08,2002-10-01
BKR,1992-06-01,1992-06-24
BLK,2003-02-13,2003-03-08
BMY,1979-09-10,1979-10-03
BR,2009-07-10,2009-08-02
BRK-B,2000-03-17,2000-04-09
BRO,1987-02-23,1987-03-18
BSX,1996-10-21,1996-11-13
BWA,1997-11-11,1997-12-04
BXP,2001-02-27,2001-03-22
C,1983-08-18,1983-09-10
CAG,1986-05-16,1986-06-08
CAH,1989-04-08,1989-05-01
CARR,2020-08-29,2020-09-21
CAT,1970-10-08,1970-10-31
CB,1997-07-13,1997-08-05
CBOE,2012-04-18,2012-05-11
CBRE,2007-02-21,2007-03-16
CCI,2002-02-28,2002-03-23
CCL,1992-09-02,1992-09-25
CDAY,2019-01-13,2019-02-05
CDNS,1992-07-26,1992-08-18
CDW,2014-11-23,2014-12-16
CE,2007-09-02,2007-09-25
CEG,2022-03-27,2022-04-19
CF,2008-02-22,2008-03-16
CFG,2015-12-17,2016-01-09
CHD,1986-05-16,1986-06-08
